Datetime	longitude	latitude	t2m	z	tp
2014-02-10 07:00:00	-77.75	-9.25	279.93408	37063.72	0.00034918636
2014-02-10 13:00:00	-77.75	-9.25	284.53152	37063.72	0.0019100634
2014-02-10 19:00:00	-77.75	-9.25	279.33566	37063.72	0.00024072919
2014-02-11 01:00:00	-77.75	-9.25	277.95386	37063.72	0.00014578924
2014-02-11 07:00:00	-77.75	-9.25	280.95636	37063.72	2.7999282e-05
2014-02-11 13:00:00	-77.75	-9.25	285.68243	37063.72	0.0010510981
2014-02-11 19:00:00	-77.75	-9.25	280.10373	37063.72	0.000460539
2014-02-12 01:00:00	-77.75	-9.25	278.7991	37063.72	0.00017314497
2014-02-12 07:00:00	-77.75	-9.25	280.19196	37063.72	0.000117789954
2014-02-12 13:00:00	-77.75	-9.25	286.41864	37063.72	0.0012515979
2014-02-12 19:00:00	-77.75	-9.25	279.8269	37063.72	0.00047019403
2014-02-13 01:00:00	-77.75	-9.25	278.40036	37063.72	0.00031474978
2014-02-13 07:00:00	-77.75	-9.25	278.82913	37063.72	0.00054453686
2014-02-13 13:00:00	-77.75	-9.25	286.31207	37063.72	0.0012367945
2014-02-13 19:00:00	-77.75	-9.25	279.2046	37063.72	7.337704e-05
2014-02-14 01:00:00	-77.75	-9.25	277.64514	37063.72	9.657815e-07
2014-02-14 07:00:00	-77.75	-9.25	278.46408	37063.72	9.657815e-07
2014-02-14 13:00:00	-77.75	-9.25	283.79224	37063.72	0.00037428923
2014-02-14 19:00:00	-77.75	-9.25	280.331	37063.72	1.8022954e-05
2014-02-15 01:00:00	-77.75	-9.25	277.43262	37063.72	0.0
2014-02-15 07:00:00	-77.75	-9.25	279.78525	37063.72	0.0
2014-02-15 13:00:00	-77.75	-9.25	284.48865	37063.72	0.00068195816
2014-02-15 19:00:00	-77.75	-9.25	280.96063	37063.72	0.0001293756
2014-02-16 01:00:00	-77.75	-9.25	277.002	37063.72	2.8964132e-06
2014-02-16 07:00:00	-77.75	-9.25	276.88504	37063.72	9.657815e-07
2014-02-16 13:00:00	-77.75	-9.25	284.98538	37063.72	0.00041612703
2014-02-16 19:00:00	-77.75	-9.25	280.50308	37063.72	2.2528693e-05
2014-02-17 01:00:00	-77.75	-9.25	278.25336	37063.72	1.2870878e-06
2014-02-17 07:00:00	-77.75	-9.25	279.88998	37063.72	3.8621947e-06
2014-02-17 13:00:00	-77.75	-9.25	285.49008	37063.72	0.0003929548
2014-02-17 19:00:00	-77.75	-9.25	279.25665	37063.72	0.00011585932
2014-02-18 01:00:00	-77.75	-9.25	277.66537	37063.72	1.0620803e-05
2014-02-18 07:00:00	-77.75	-9.25	279.28177	37063.72	1.2870878e-06
2014-02-18 13:00:00	-77.75	-9.25	283.81	37063.72	0.0012554601
2014-02-18 19:00:00	-77.75	-9.25	279.12006	37063.72	7.788278e-05
2014-02-19 01:00:00	-77.75	-9.25	277.60043	37063.72	0.00012841076
2014-02-19 07:00:00	-77.75	-9.25	279.23154	37063.72	9.300932e-05
2014-02-19 13:00:00	-77.75	-9.25	286.0003	37063.72	0.0009230096
2014-02-19 19:00:00	-77.75	-9.25	280.6801	37063.72	0.0002394421
2014-02-20 01:00:00	-77.75	-9.25	278.597	37063.72	0.00029222202
2014-02-20 07:00:00	-77.75	-9.25	280.5178	37063.72	5.2779913e-05
2014-02-20 13:00:00	-77.75	-9.25	285.01602	37063.72	0.001149578
2014-02-20 19:00:00	-77.75	-9.25	279.852	37063.72	0.00022689067
2014-02-21 01:00:00	-77.75	-9.25	279.106	37063.72	0.00049594045
2014-02-21 07:00:00	-77.75	-9.25	279.9353	37063.72	4.827976e-06
2014-02-21 13:00:00	-77.75	-9.25	284.9431	37063.72	0.0016213814
2014-02-21 19:00:00	-77.75	-9.25	280.11783	37063.72	6.43665e-05
2014-02-22 01:00:00	-77.75	-9.25	278.33545	37063.72	0.00015029497
2014-02-22 07:00:00	-77.75	-9.25	279.5225	37063.72	3.222376e-07
2014-02-22 13:00:00	-77.75	-9.25	285.52438	37063.72	0.0021433905
2014-02-22 19:00:00	-77.75	-9.25	281.12112	37063.72	0.0001438586
2014-02-23 01:00:00	-77.75	-9.25	278.32074	37063.72	3.572367e-05
2014-02-23 07:00:00	-77.75	-9.25	279.26093	37063.72	8.818135e-05
2014-02-23 13:00:00	-77.75	-9.25	285.56543	37063.72	0.0015286943
2014-02-23 19:00:00	-77.75	-9.25	280.4939	37063.72	0.00027194712
2014-02-24 01:00:00	-77.75	-9.25	278.67538	37063.72	0.00020790286
2014-02-24 07:00:00	-77.75	-9.25	279.833	37063.72	3.572367e-05
2014-02-24 13:00:00	-77.75	-9.25	284.10156	37063.72	0.0018653283
2014-02-24 19:00:00	-77.75	-9.25	279.2046	37063.72	0.00032601412
2014-02-25 01:00:00	-77.75	-9.25	278.81442	37063.72	0.00013098493
2014-02-25 07:00:00	-77.75	-9.25	279.0919	37063.72	0.00059023686
2014-02-25 13:00:00	-77.75	-9.25	287.4991	37063.72	0.0006957976
2014-02-25 19:00:00	-77.75	-9.25	279.5825	37063.72	0.00028578565
2014-02-26 01:00:00	-77.75	-9.25	278.20316	37063.72	0.00033148564
2014-02-26 07:00:00	-77.75	-9.25	278.50635	37063.72	0.000542284
2014-02-26 13:00:00	-77.75	-9.25	285.76877	37063.72	0.00041677058
2014-02-26 19:00:00	-77.75	-9.25	280.82526	37063.72	0.00028610695
2014-02-27 01:00:00	-77.75	-9.25	278.21295	37063.72	5.2779913e-05
2014-02-27 07:00:00	-77.75	-9.25	278.86282	37063.72	3.2186508e-06
2014-02-27 13:00:00	-77.75	-9.25	286.74695	37063.72	0.001765239
2014-02-27 19:00:00	-77.75	-9.25	281.39062	37063.72	3.475789e-05
2014-02-28 01:00:00	-77.75	-9.25	279.8085	37063.72	3.8621947e-06
2014-02-28 07:00:00	-77.75	-9.25	278.63986	37063.72	3.222376e-07
2014-02-28 13:00:00	-77.75	-9.25	286.65506	37063.72	0.0004119426
2014-02-28 19:00:00	-77.75	-9.25	280.41797	37063.72	0.0002931878
2014-03-01 01:00:00	-77.75	-9.25	279.74542	37063.72	0.00015544426
2014-03-01 07:00:00	-77.75	-9.25	279.50534	37063.72	4.0872954e-05
2014-03-01 13:00:00	-77.75	-9.25	283.497	37063.72	0.0005435711
2014-03-01 19:00:00	-77.75	-9.25	279.4508	37063.72	0.0004454134
2014-03-02 01:00:00	-77.75	-9.25	278.24173	37063.72	0.00015447848
2014-03-02 07:00:00	-77.75	-9.25	278.24908	37063.72	0.00011296291
2014-03-02 13:00:00	-77.75	-9.25	284.5352	37063.72	0.00090080313
2014-03-02 19:00:00	-77.75	-9.25	279.5537	37063.72	0.00043253973
2014-03-03 01:00:00	-77.75	-9.25	277.55023	37063.72	0.000103629194
2014-03-03 07:00:00	-77.75	-9.25	278.9014	37063.72	0.00016155932
2014-03-03 13:00:00	-77.75	-9.25	285.5391	37063.72	0.0009889845
2014-03-03 19:00:00	-77.75	-9.25	279.4067	37063.72	0.00015544426
2014-03-04 01:00:00	-77.75	-9.25	278.23315	37063.72	5.535502e-05
2014-03-04 07:00:00	-77.75	-9.25	278.49286	37063.72	0.00010201987
2014-03-04 13:00:00	-77.75	-9.25	283.53253	37063.72	0.000997996
2014-03-04 19:00:00	-77.75	-9.25	280.3518	37063.72	0.0006269254
2014-03-05 01:00:00	-77.75	-9.25	278.4512	37063.72	0.000145467
2014-03-05 07:00:00	-77.75	-9.25	278.15967	37063.72	6.758608e-06
2014-03-05 13:00:00	-77.75	-9.25	283.9178	37063.72	0.0008145524
2014-03-05 19:00:00	-77.75	-9.25	278.5927	37063.72	0.00063690264
2014-03-06 01:00:00	-77.75	-9.25	277.22437	37063.72	0.00028739497
2014-03-06 07:00:00	-77.75	-9.25	277.72418	37063.72	0.00034822058
2014-03-06 13:00:00	-77.75	-9.25	285.30023	37063.72	0.00079331174
2014-03-06 19:00:00	-77.75	-9.25	279.8122	37063.72	0.0002207756
2014-03-07 01:00:00	-77.75	-9.25	277.43018	37063.72	6.758608e-06
2014-03-07 07:00:00	-77.75	-9.25	278.0041	37063.72	0.0
2014-03-07 13:00:00	-77.75	-9.25	284.21426	37063.72	0.001991164
2014-03-07 19:00:00	-77.75	-9.25	279.42938	37063.72	0.0002783835
2014-03-08 01:00:00	-77.75	-9.25	278.85178	37063.72	1.2870878e-06
2014-03-08 07:00:00	-77.75	-9.25	279.70377	37063.72	8.914713e-05
2014-03-08 13:00:00	-77.75	-9.25	283.06213	37063.72	0.0015660264
2014-03-08 19:00:00	-77.75	-9.25	278.32135	37063.72	0.0008048974
2014-03-09 01:00:00	-77.75	-9.25	277.99	37063.72	0.00018247776
2014-03-09 07:00:00	-77.75	-9.25	278.51245	37063.72	2.1884218e-05
2014-03-09 13:00:00	-77.75	-9.25	282.70444	37063.72	0.00039231125
2014-03-09 19:00:00	-77.75	-9.25	279.43488	37063.72	0.0002059713
2014-03-10 01:00:00	-77.75	-9.25	278.18353	37063.72	3.250502e-05
2014-03-10 07:00:00	-77.75	-9.25	278.45612	37063.72	1.931563e-06
2014-03-10 13:00:00	-77.75	-9.25	284.53888	37063.72	0.001825422
2014-03-10 19:00:00	-77.75	-9.25	279.63702	37063.72	0.00010813493
2014-03-11 01:00:00	-77.75	-9.25	276.77847	37063.72	4.2481348e-05
2014-03-11 07:00:00	-77.75	-9.25	278.23685	37063.72	0.0
